webkit2gtk 2.8.3-1
webkitgtk 2.4.9-1
webkitgtk2 2.4.9-1
weechat 1.2-2
wget 1.16.3-1
which 2.21-1
wildmidi 0.3.8-1
wireless_tools 30.pre9-1
wireshark-cli 1.12.6-2
wireshark-gtk 1.12.6-2
words 2.1-3
wpa_actiond 1.4-2
wpa_supplicant 1:2.3-1
wput 0.6.2-3
wxgtk 3.0.2-4
wxgtk2.8 2.8.12.1-3
wxpython 3.0.2.0-1
x265 1.7-2
xcb-proto 1.11-1
xcb-util 0.4.0-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-wm 0.4.1-1
xclip 0.12-4
xdg-utils 1.1.0.git20150323-1
xextproto 7.3.0-1
xf86-input-evdev 2.9.2-1
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfsprogs 3.2.2-1
xineramaproto 1.2.1-3
xkeyboard-config 2.15-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-fonts-type1 7.7-1
xorg-mkfontdir 1.0.7-2
